111111111;test;test;test;test
190032931;Aitvaras;Pašilaičių g. 10;Pašilaičių;asdasdasd
190019122;Atžalėlės;Antakalnio g. 74;Antakalnio;asdasdasdasdasd
190020391;Aušrelė;Gerosios Vilties g. 28;Vilkpėdės;zxczxcasdas
303318623;Ąžuolas;Žirmūnų g. 32;Žirmūnų;asdasdas
190020434;Bangelė;Žemaitės g. 3;Vilkpėdės;dasd
190026120;Berželis;Taikos g. 187;Justiniškių;dsad
190019275;Beržynėlis;Beržyno g. 7A;Naujamiesčio;s
190031797;Bitutė;Paberžės g. 20;Šeškinės;s
190021721;Boružėlė;Latvių g. 40;Žvėryno;s
190015444;Coliukė;A. Kojelavičiaus g. 298;Naujosios Vilnios;s
191727213;Daigelis;Dariaus ir Girėno g. 14;Naujininkų;s
190027037;Delfinukas;Vido Maciulevičiaus g. 32;Karoliniškių;s
190018935;Drevinukas;K. Donelaičio g. 12;Naujamiesčio;s
190017071;Drugelis;Rinktinės g. 28A;Šnipiškių;s
190014723;Du gaideliai;Pelesos g. 15;Naujininkų;s
190019994;Eglutė;Miglos g. 3;Žvėryno;s
190033271;Gabijėlė;Gabijos g. 1;Pašilaičių;s
190033129;Gandriukas;Fabijoniškių g. 7;Fabijoniškių;s
290031830;Gelvonėlis;Gelvonų g. 1;Šeškinės;s
190012334;Gėlynas;Gėlių g. 9A;Senamiesčio;s
190012487;Geniukų kalvė;Muitinės g. 30;Naujamiesčio;s
190013589;Gervelė;Dzūkų g. 32;Naujininkų;s
302716948;Giliukas;Minties g. 1;Žirmūnų;ss
190028324;Gilužis;Vydūno g. 11A;Pilaitės;s
190029383;Gintarėlis;Didlaukio g. 35;Verkių;s
190025214;Giraitė;Erfurto g. 42;Lazdynų;s
304028651;Gluosnis;Justiniškių g. 65;Viršuliškių;s
190012715;Gudrutis;Trakų g. 12;Senamiesčio;s
190033467;Jovarėlis;S. Stanevičiaus g. 21;Fabijoniškių;s
190029045;Jurginėlis;Justiniškių g. 47;Viršuliškių;s
190016731;Justinukas;Taikos g. 99;Justiniškių;s
190033652;Karuselė;Gedvydžių g. 25;Fabijoniškių;s
190019841;Kaštonas;Antakalnio g. 108;Antakalnio;s
190031459;Kodėlčiukas;Laisvės pr. 59;Šeškinės;s
190015782;Krivūlė;Lydos g. 5;Senamiesčio;s
190013436;Kūlverstukas;Suvalkų g. 6;Naujamiesčio;s
190017114;Kurpaitė;Birželio 23-iosios g. 6A;Naujamiesčio;s
190023010;Lakštingala;Lakštingalų g. 10;Antakalnio;s
190017452;Lašelis;Dzūkų g. 29;Naujininkų;s
190018173;Lazdynėlis;Lazdynų g. 36;Lazdynų;s
290018740;Liepsnelė;Kapsų g. 7;Naujininkų;s
190648777;Lokiuko giraitė;Kovo 11-osios g. 54;Grigiškių;s
304111905;Malūnėlis;Popieriaus g. 7;Verkių;s
